# MIC-185 192.168.9.155:4000; packets=472
# idx  relative    delta direction flags      seq        ack        payload wire
   302  13303.200    0.017 PC->DEV ACK        3419068218 3396146865       0    54
   303  13303.241    0.041 DEV->PC ACK|PSH    3396146865 3419068218    1220  1274
   304  13349.537   46.296 PC->DEV ACK        3419068218 3396148085       0    54
   305  13453.238  103.701 DEV->PC ACK        3396148085 3419068218    1460  1514
   306  13453.240    0.002 DEV->PC ACK        3396149545 3419068218    1460  1514
   307  13453.322    0.082 PC->DEV ACK        3419068218 3396151005       0    54
   308  13453.407    0.085 DEV->PC ACK|PSH    3396151005 3419068218    1220  1274
   309  13502.909   49.502 PC->DEV ACK        3419068218 3396152225       0    54
   310  13603.260  100.351 DEV->PC ACK        3396152225 3419068218    1460  1514
   311  13603.263    0.003 DEV->PC ACK        3396153685 3419068218    1460  1514
   312  13603.354    0.091 PC->DEV ACK        3419068218 3396155145       0    54
   313  13603.438    0.084 DEV->PC ACK|PSH    3396155145 3419068218    1220  1274
   314  13656.503   53.065 PC->DEV ACK        3419068218 3396156365       0    54
   315  13753.064   96.561 DEV->PC ACK        3396156365 3419068218    1460  1514
   316  13753.146    0.082 DEV->PC ACK        3396157825 3419068218    1460  1514
   317  13753.153    0.007 PC->DEV ACK        3419068218 3396159285       0    54
   318  13753.316    0.163 DEV->PC ACK|PSH    3396159285 3419068218    1220  1274
   319  13796.559   43.243 PC->DEV ACK        3419068218 3396160505       0    54
   320  13903.132  106.573 DEV->PC ACK        3396160505 3419068218    1460  1514
   321  13903.178    0.046 DEV->PC ACK        3396161965 3419068218    1460  1514
   322  13903.187    0.009 PC->DEV ACK        3419068218 3396163425       0    54
   323  13903.298    0.111 DEV->PC ACK|PSH    3396163425 3419068218    1220  1274
   324  13951.138   47.840 PC->DEV ACK        3419068218 3396164645       0    54
   325  14000.905   49.767 DEV->PC ACK|PSH    3396164645 3419068218      84   138
   326  14044.532   43.627 PC->DEV ACK        3419068218 3396164729       0    54
   327  14053.080    8.548 DEV->PC ACK        3396164729 3419068218    1460  1514
   328  14053.191    0.111 DEV->PC ACK        3396166189 3419068218    1460  1514
   329  14053.209    0.018 PC->DEV ACK        3419068218 3396167649       0    54
   330  14053.253    0.044 DEV->PC ACK|PSH    3396167649 3419068218    1220  1274
   331  14105.440   52.187 PC->DEV ACK        3419068218 3396168869       0    54
   332  14203.159   97.719 DEV->PC ACK        3396168869 3419068218    1460  1514
   333  14203.269    0.110 DEV->PC ACK        3396170329 3419068218    1460  1514
   334  14203.302    0.033 PC->DEV ACK        3419068218 3396171789       0    54
   335  14203.363    0.061 DEV->PC ACK|PSH    3396171789 3419068218    1220  1274
   336  14203.364    0.001 DEV->PC ACK|PSH    3396173009 3419068218      84   138
   337  14203.390    0.026 PC->DEV ACK        3419068218 3396173093       0    54
   338  14353.122  149.732 DEV->PC ACK        3396173093 3419068218    1460  1514
   339  14353.252    0.130 DEV->PC ACK        3396174553 3419068218    1460  1514
   340  14353.252    0.000 DEV->PC ACK|PSH    3396176013 3419068218    1220  1274
   341  14353.269    0.017 PC->DEV ACK        3419068218 3396177233       0    54
   342  14503.070  149.801 DEV->PC ACK        3396177233 3419068218    1460  1514
   343  14503.130    0.060 DEV->PC ACK        3396178693 3419068218    1460  1514
   344  14503.134    0.004 PC->DEV ACK        3419068218 3396180153       0    54
   345  14503.259    0.125 DEV->PC ACK|PSH    3396180153 3419068218    1220  1274
   346  14556.824   53.565 PC->DEV ACK        3419068218 3396181373       0    54
   347  14653.113   96.289 DEV->PC ACK        3396181373 3419068218    1460  1514
   348  14653.226    0.113 DEV->PC ACK        3396182833 3419068218    1460  1514
   349  14653.256    0.030 PC->DEV ACK        3419068218 3396184293       0    54
   350  14653.286    0.030 DEV->PC ACK|PSH    3396184293 3419068218    1220  1274
   351  14695.950   42.664 PC->DEV ACK        3419068218 3396185513       0    54
   352  14803.063  107.113 DEV->PC ACK        3396185513 3419068218    1460  1514
   353  14803.143    0.080 DEV->PC ACK        3396186973 3419068218    1460  1514
   354  14803.159    0.016 PC->DEV ACK        3419068218 3396188433       0    54
   355  14803.273    0.114 DEV->PC ACK|PSH    3396188433 3419068218    1220  1274
   356  14850.851   47.578 PC->DEV ACK        3419068218 3396189653       0    54
   357  14953.092  102.241 DEV->PC ACK        3396189653 3419068218    1460  1514
   358  14953.137    0.045 DEV->PC ACK        3396191113 3419068218    1460  1514
