# MIC-185 192.168.9.155:4000; packets=1803
# idx  relative    delta direction flags      seq        ack        payload wire
   330  48079.078    0.074 PC->DEV ACK        2164023976 3264135553       0    54
   331  48079.164    0.086 DEV->PC ACK        3264135553 2164023976    1460  1514
   332  48079.165    0.001 DEV->PC ACK|PSH    3264137013 2164023976    1220  1274
   333  48079.198    0.033 PC->DEV ACK        2164023976 3264138233       0    54
   334  48228.959  149.761 DEV->PC ACK        3264138233 2164023976    1460  1514
   335  48229.079    0.120 DEV->PC ACK        3264139693 2164023976    1460  1514
   336  48229.084    0.005 PC->DEV ACK        2164023976 3264141153       0    54
   337  48229.140    0.056 DEV->PC ACK|PSH    3264141153 2164023976    1220  1274
   338  48276.705   47.565 PC->DEV ACK        2164023976 3264142373       0    54
   339  48378.945  102.240 DEV->PC ACK        3264142373 2164023976    1460  1514
   340  48379.075    0.130 DEV->PC ACK        3264143833 2164023976    1460  1514
   341  48379.099    0.024 PC->DEV ACK        2164023976 3264145293       0    54
   342  48379.151    0.052 DEV->PC ACK|PSH    3264145293 2164023976    1220  1274
   343  48433.035   53.884 PC->DEV ACK        2164023976 3264146513       0    54
   344  48478.830   45.795 DEV->PC ACK|PSH    3264146513 2164023976      84   138
   345  48527.184   48.354 PC->DEV ACK        2164023976 3264146597       0    54
   346  48528.982    1.798 DEV->PC ACK        3264146597 2164023976    1460  1514
   347  48529.110    0.128 DEV->PC ACK        3264148057 2164023976    1460  1514
   348  48529.111    0.001 DEV->PC ACK|PSH    3264149517 2164023976    1220  1274
   349  48529.158    0.047 PC->DEV ACK        2164023976 3264150737       0    54
   350  48678.961  149.803 DEV->PC ACK        3264150737 2164023976    1460  1514
   351  48679.047    0.086 DEV->PC ACK        3264152197 2164023976    1460  1514
   352  48679.062    0.015 PC->DEV ACK        2164023976 3264153657       0    54
   353  48679.215    0.153 DEV->PC ACK|PSH    3264153657 2164023976    1220  1274
   354  48727.797   48.582 PC->DEV ACK        2164023976 3264154877       0    54
   355  48828.913  101.116 DEV->PC ACK        3264154877 2164023976    1460  1514
   356  48829.039    0.126 DEV->PC ACK        3264156337 2164023976    1460  1514
   357  48829.043    0.004 PC->DEV ACK        2164023976 3264157797       0    54
   358  48829.132    0.089 DEV->PC ACK|PSH    3264157797 2164023976    1220  1274
   359  48884.197   55.065 PC->DEV ACK        2164023976 3264159017       0    54
